"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,2.03324287587186,4.29084047672396
2,3.02655956352124,5.29400964387635
3,4.02212497811409,5.49905867786087
4,5.0312177217808,6.53261141439204
5,5.6380217567806,7.08954789204206
6,5.93409122523015,7.39759813500741
7,6.09418494038689,7.50314368182635
8,6.17855243148833,7.54472886205171
9,6.22951108438937,7.58173080632301
10,6.26300941528048,7.60086297830735
11,6.2830241478279,7.61498402035348
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
